pincode,district,state
110102,"NEW DELHI","DELHI"
110106,"NORTH","DELHI"
110119,"South East","DELHI"
110124,"SOUTH","DELHI"
110151,"SHAHDARA","DELHI"
110195,"SHAHDARA","DELHI"
121999,"NA","NA"
122998,"NA","NA"
122999,"NA","NA"
123304,"MAHENDRAGARH","HARYANA"
124515,"ROHTAK","HARYANA"
125061,"HISAR","HARYANA"
132035,"NA","NA"
134999,"NA","NA"
145002,"GURDASPUR","PUNJAB"
151007,"BATHINDA","PUNJAB"
151511,"BATHINDA","PUNJAB"
173033,"SIRMAUR","HIMACHAL PRADESH"
173237,"SOLAN","HIMACHAL PRADESH"
175022,"MANDI","HIMACHAL PRADESH"
176307,"CHAMBA","HIMACHAL PRADESH"
176330,"CHAMBA","HIMACHAL PRADESH"
181008,"JAMMU","JAMMU AND KASHMIR"
181134,"JAMMU","JAMMU AND KASHMIR"
181208,"JAMMU","JAMMU AND KASHMIR"
182129,"DODA","JAMMU AND KASHMIR"
182130,"UDHAMPUR","JAMMU AND KASHMIR"
182131,"DODA","JAMMU AND KASHMIR"
182132,"KISHTWAR","JAMMU AND KASHMIR"
182133,"KISHTWAR","JAMMU AND KASHMIR"
182134,"KISHTWAR","JAMMU AND KASHMIR"
182135,"KISHTWAR","JAMMU AND KASHMIR"
182136,"KISHTWAR","JAMMU AND KASHMIR"
182137,"KISHTWAR","JAMMU AND KASHMIR"
182138,"KISHTWAR","JAMMU AND KASHMIR"
182139,"KISHTWAR","JAMMU AND KASHMIR"
182140,"KISHTWAR","JAMMU AND KASHMIR"
184210,"KATHUA","JAMMU AND KASHMIR"
190099,"SRINAGAR","JAMMU AND KASHMIR"
193306,"SHOPIAN","JAMMU AND KASHMIR"
201022,"HAPUR","UTTAR PRADESH"
201319,"NA","NA"
201320,"NA","NA"
203413,"BULANDSHAHR","UTTAR PRADESH"
204217,"ALIGARH","UTTAR PRADESH"
208028,"KANPUR NAGAR","UTTAR PRADESH"
212110,"PRAYAGRAJ","UTTAR PRADESH"
221111,"VARANASI","UTTAR PRADESH"
222004,"JAUNPUR","UTTAR PRADESH"
222101,"NA","NA"
222205,"JAUNPUR","UTTAR PRADESH"
224239,"AMBEDKAR NAGAR","UTTAR PRADESH"
232114,"VARANASI","UTTAR PRADESH"
232115,"CHANDAULI","UTTAR PRADESH"
247552,"SAHARANPUR","UTTAR PRADESH"
247658,"HARIDWAR","UTTARAKHAND"
248020,"NA","NA"
249206,"DEHRADUN","UTTARAKHAND"
249412,"HARIDWAR","UTTARAKHAND"
261304,"SITAPUR","UTTAR PRADESH"
263141,"NAINITAL","UTTARAKHAND"
273011,"NA","NA"
273312,"MAHARAJGANJ","UTTAR PRADESH"
302047,"JAIPUR","RAJASTHAN"
302048,"JAIPUR","RAJASTHAN"
302049,"JAIPUR","RAJASTHAN"
305006,"AJMER","RAJASTHAN"
306604,"PALI","RAJASTHAN"
312628,"PRATAPGARH","RAJASTHAN"
312629,"CHITTORGARH","RAJASTHAN"
313806,"UDAIPUR","RAJASTHAN"
332003,"SIKAR","RAJASTHAN"
334002,"RAIPUR","CHHATTISGARH"
334024,"BIKANER","RAJASTHAN"
334025,"BIKANER","RAJASTHAN"
335042,"GANGANAGAR","RAJASTHAN"
335521,"HANUMANGARH","RAJASTHAN"
341002,"NAGAUR","RAJASTHAN"
341003,"NAGAUR","RAJASTHAN"
341307,"NAGAUR","RAJASTHAN"
341309,"NAGAUR","RAJASTHAN"
341521,"NAGAUR","RAJASTHAN"
342016,"JODHPUR","RAJASTHAN"
342017,"JODHPUR","RAJASTHAN"
342032,"JODHPUR","RAJASTHAN"
344802,"BARMER","RAJASTHAN"
360008,"NA","NA"
362269,"GIR SOMNATH","GUJARAT"
380010,"NA","NA"
380011,"NA","NA"
380012,"NA","NA"
380057,"AHMADABAD","GUJARAT"
382050,"GANDHINAGAR","GUJARAT"
382055,"GANDHINAGAR","GUJARAT"
382419,"GANDHINAGAR","GUJARAT"
382501,"GANDHINAGAR","GUJARAT"
384266,"PATAN","GUJARAT"
384316,"NAGAUR","RAJASTHAN"
385581,"BANAS KANTHA","GUJARAT"
387105,"KHEDA","GUJARAT"
390008,"NA","NA"
390026,"NA","NA"
395014,"NA","NA"
395015,"NA","NA"
400111,"NA","NA"
400113,"NA","NA"
400114,"NA","NA"
400118,"NA","NA"
400150,"NA","NA"
400153,"NA","NA"
400160,"NA","NA"
400167,"NA","NA"
400171,"NA","NA"
400183,"NA","NA"
400186,"NA","NA"
400193,"NA","NA"
400201,"NA","NA"
400609,"NA","NA"
401108,"NA","NA"
401205,"PALGHAR","MAHARASHTRA"
403522,"NA","NA"
403525,"NORTH GOA","GOA"
410517,"PUNE","MAHARASHTRA"
411070,"PUNE","MAHARASHTRA"
411071,"PUNE","MAHARASHTRA"
411073,"PUNE","MAHARASHTRA"
411074,"NA","NA"
411075,"NA","NA"
411076,"NA","NA"
411077,"NA","NA"
411078,"NA","NA"
411079,"NA","NA"
411080,"NA","NA"
411081,"PUNE","MAHARASHTRA"
413625,"OSMANABAD","MAHARASHTRA"
413626,"OSMANABAD","MAHARASHTRA"
415418,"SANGLI","MAHARASHTRA"
415635,"NA","NA"
416317,"SANGLI","MAHARASHTRA"
416429,"SANGLI","MAHARASHTRA"
422014,"NA","NA"
425314,"JALGAON","MAHARASHTRA"
431025,"NA","NA"
431543,"HINGOLI","MAHARASHTRA"
431724,"NANDED","MAHARASHTRA"
440029,"NAGPUR","MAHARASHTRA"
440038,"NA","NA"
441124,"NA","NA"
442920,"CHANDRAPUR","MAHARASHTRA"
451114,"KHARGONE","MADHYA PRADESH"
452999,"NA","NA"
457111,"NA","NA"
461445,"SEHORE","MADHYA PRADESH"
462028,"BHOPAL","MADHYA PRADESH"
462034,"NA","NA"
462057,"NA","NA"
462099,"NA","NA"
462116,"NA","NA"
465313,"UJJAIN","MADHYA PRADESH"
470776,"DAMOH","MADHYA PRADESH"
473106,"NA","NA"
473447,"ASHOKNAGAR","MADHYA PRADESH"
473773,"SHIVPURI","MADHYA PRADESH"
475331,"GWALIOR","MADHYA PRADESH"
476338,"NA","NA"
480442,"CHHINDWARA","MADHYA PRADESH"
482007,"NA","NA"
485227,"SATNA","MADHYA PRADESH"
486883,"SIDHI","MADHYA PRADESH"
490004,"NA","NA"
491002,"DURG","CHHATTISGARH"
491443,"RAJNANDGAON","CHHATTISGARH"
494220,"KONDAGAON","CHHATTISGARH"
494662,"NARAYANPUR","CHHATTISGARH"
495002,"NA","NA"
500106,"HYDERABAD","TELANGANA"
500117,"HYDERABAD","TELANGANA"
500118,"HYDERABAD","TELANGANA"
500119,"NA","NA"
500301,"MEDCHAL MALKAJGIRI","TELANGANA"
500901,"NA","NA"
500903,"NA","NA"
500915,"NA","NA"
500918,"NA","NA"
500920,"NA","NA"
500927,"NA","NA"
500930,"NA","NA"
500931,"NA","NA"
500934,"NA","NA"
500939,"NA","NA"
500955,"NA","NA"
500958,"NA","NA"
500962,"NA","NA"
500970,"NA","NA"
500972,"NA","NA"
500984,"NA","NA"
500989,"NA","NA"
501302,"MEDCHAL MALKAJGIRI","TELANGANA"
501303,"MEDCHAL MALKAJGIRI","TELANGANA"
501513,"MEDCHAL MALKAJGIRI","TELANGANA"
502033,"SANGAREDDY","TELANGANA"
502034,"SANGAREDDY","TELANGANA"
502106,"SIDDIPET","TELANGANA"
502932,"NA","NA"
504300,"NA","NA"
504314,"NA","NA"
505506,"PEDDAPALLI","TELANGANA"
506325,"MAHABUBABAD","TELANGANA"
507112,"BHADRADRI KOTHAGUDEM","TELANGANA"
507126,"BHADRADRI KOTHAGUDEM","TELANGANA"
507127,"BHADRADRI KOTHAGUDEM","TELANGANA"
507171,"BHADRADRI KOTHAGUDEM","TELANGANA"
507315,"BHADRADRI KOTHAGUDEM","TELANGANA"
509328,"RANGA REDDY","TELANGANA"
515006,"ANANTAPUR","ANDHRA PRADESH"
515251,"Sri Sathya Sai","ANDHRA PRADESH"
517508,"NA","NA"
517509,"CHITTOOR","ANDHRA PRADESH"
517510,"NA","NA"
521224,"KRISHNA","ANDHRA PRADESH"
522008,"GUNTUR","ANDHRA PRADESH"
522241,"GUNTUR","ANDHRA PRADESH"
523003,"PRAKASAM","ANDHRA PRADESH"
530056,"VISAKHAPATANAM","ANDHRA PRADESH"
530057,"VISAKHAPATANAM","ANDHRA PRADESH"
