"id","district","state"
"110102","New Delhi","Delhi"
"110106","North","Delhi"
"110119","South East","Delhi"
"110124","South","Delhi"
"110151","Shahdara","Delhi"
"110195","Shahdara","Delhi"
"121999","Na","Not Applicable"
"122998","Na","Not Applicable"
"122999","Na","Not Applicable"
"123304","Mahendragarh","Haryana"
"124515","Rohtak","Haryana"
"125061","Hisar","Haryana"
"132035","Na","Not Applicable"
"134999","Na","Not Applicable"
"145002","Gurdaspur","Punjab"
"151007","Bathinda","Punjab"
"151511","Bathinda","Punjab"
"173033","Sirmaur","Himachal Pradesh"
"173237","Solan","Himachal Pradesh"
"175022","Mandi","Himachal Pradesh"
"176307","Chamba","Himachal Pradesh"
"176330","Chamba","Himachal Pradesh"
"181008","Jammu","Jammu And Kashmir"
"181134","Jammu","Jammu And Kashmir"
"181208","Jammu","Jammu And Kashmir"
"182129","Doda","Jammu And Kashmir"
"182130","Udhampur","Jammu And Kashmir"
"182131","Doda","Jammu And Kashmir"
"182132","Kishtwar","Jammu And Kashmir"
"182133","Kishtwar","Jammu And Kashmir"
"182134","Kishtwar","Jammu And Kashmir"
"182135","Kishtwar","Jammu And Kashmir"
"182136","Kishtwar","Jammu And Kashmir"
"182137","Kishtwar","Jammu And Kashmir"
"182138","Kishtwar","Jammu And Kashmir"
"182139","Kishtwar","Jammu And Kashmir"
"182140","Kishtwar","Jammu And Kashmir"
"184210","Kathua","Jammu And Kashmir"
"190099","Srinagar","Jammu And Kashmir"
"193306","Shopian","Jammu And Kashmir"
"201022","Hapur","Uttar Pradesh"
"201319","Na","Not Applicable"
"201320","Na","Not Applicable"
"203413","Bulandshahr","Uttar Pradesh"
"204217","Aligarh","Uttar Pradesh"
"208028","Kanpur Nagar","Uttar Pradesh"
"212110","Prayagraj","Uttar Pradesh"
"221111","Varanasi","Uttar Pradesh"
"222004","Jaunpur","Uttar Pradesh"
"222101","Na","Not Applicable"
"222205","Jaunpur","Uttar Pradesh"
"224239","Ambedkar Nagar","Uttar Pradesh"
"232114","Varanasi","Uttar Pradesh"
"232115","Chandauli","Uttar Pradesh"
"247552","Saharanpur","Uttar Pradesh"
"247658","Haridwar","Uttarakhand"
"248020","Na","Not Applicable"
"249206","Dehradun","Uttarakhand"
"249412","Haridwar","Uttarakhand"
"261304","Sitapur","Uttar Pradesh"
"263141","Nainital","Uttarakhand"
"273011","Na","Not Applicable"
"273312","Maharajganj","Uttar Pradesh"
"302047","Jaipur","Rajasthan"
"302048","Jaipur","Rajasthan"
"302049","Jaipur","Rajasthan"
"305006","Ajmer","Rajasthan"
"306604","Pali","Rajasthan"
"312628","Pratapgarh","Rajasthan"
"312629","Chittorgarh","Rajasthan"
"313806","Udaipur","Rajasthan"
"332003","Sikar","Rajasthan"
"334002","Raipur","Chhattisgarh"
"334024","Bikaner","Rajasthan"
"334025","Bikaner","Rajasthan"
"335042","Ganganagar","Rajasthan"
"335521","Hanumangarh","Rajasthan"
"341002","Nagaur","Rajasthan"
"341003","Nagaur","Rajasthan"
"341307","Nagaur","Rajasthan"
"341309","Nagaur","Rajasthan"
"341521","Nagaur","Rajasthan"
"342016","Jodhpur","Rajasthan"
"342017","Jodhpur","Rajasthan"
"342032","Jodhpur","Rajasthan"
"344802","Barmer","Rajasthan"
"360008","Na","Not Applicable"
"362269","Gir Somnath","Gujarat"
"380010","Na","Not Applicable"
"380011","Na","Not Applicable"
"380012","Na","Not Applicable"
"380057","Ahmadabad","Gujarat"
"382050","Gandhinagar","Gujarat"
"382055","Gandhinagar","Gujarat"
"382419","Gandhinagar","Gujarat"
"382501","Gandhinagar","Gujarat"
"384266","Patan","Gujarat"
"384316","Nagaur","Rajasthan"
"385581","Banas Kantha","Gujarat"
"387105","Kheda","Gujarat"
"390008","Na","Not Applicable"
"390026","Na","Not Applicable"
"395014","Na","Not Applicable"
"395015","Na","Not Applicable"
"400111","Na","Not Applicable"
"400113","Na","Not Applicable"
"400114","Na","Not Applicable"
"400118","Na","Not Applicable"
"400150","Na","Not Applicable"
"400153","Na","Not Applicable"
"400160","Na","Not Applicable"
"400167","Na","Not Applicable"
"400171","Na","Not Applicable"
"400183","Na","Not Applicable"
"400186","Na","Not Applicable"
"400193","Na","Not Applicable"
"400201","Na","Not Applicable"
"400609","Na","Not Applicable"
"401108","Na","Not Applicable"
"401205","Palghar","Maharashtra"
"403522","Na","Not Applicable"
"403525","North Goa","Goa"
"410517","Pune","Maharashtra"
"411070","Pune","Maharashtra"
"411071","Pune","Maharashtra"
"411073","Pune","Maharashtra"
"411074","Na","Not Applicable"
"411075","Na","Not Applicable"
"411076","Na","Not Applicable"
"411077","Na","Not Applicable"
"411078","Na","Not Applicable"
"411079","Na","Not Applicable"
"411080","Na","Not Applicable"
"411081","Pune","Maharashtra"
"413625","Osmanabad","Maharashtra"
"413626","Osmanabad","Maharashtra"
"415418","Sangli","Maharashtra"
"415635","Na","Not Applicable"
"416317","Sangli","Maharashtra"
"416429","Sangli","Maharashtra"
"422014","Na","Not Applicable"
"425314","Jalgaon","Maharashtra"
"431025","Na","Not Applicable"
"431543","Hingoli","Maharashtra"
"431724","Nanded","Maharashtra"
"440029","Nagpur","Maharashtra"
"440038","Na","Not Applicable"
"441124","Na","Not Applicable"
"442920","Chandrapur","Maharashtra"
"451114","Khargone","Madhya Pradesh"
"452999","Na","Not Applicable"
"457111","Na","Not Applicable"
"461445","Sehore","Madhya Pradesh"
"462028","Bhopal","Madhya Pradesh"
"462034","Na","Not Applicable"
"462057","Na","Not Applicable"
"462099","Na","Not Applicable"
"462116","Na","Not Applicable"
"465313","Ujjain","Madhya Pradesh"
"470776","Damoh","Madhya Pradesh"
"473106","Na","Not Applicable"
"473447","Ashoknagar","Madhya Pradesh"
"473773","Shivpuri","Madhya Pradesh"
"475331","Gwalior","Madhya Pradesh"
"476338","Na","Not Applicable"
"480442","Chhindwara","Madhya Pradesh"
"482007","Na","Not Applicable"
"485227","Satna","Madhya Pradesh"
"486883","Sidhi","Madhya Pradesh"
"490004","Na","Not Applicable"
"491002","Durg","Chhattisgarh"
"491443","Rajnandgaon","Chhattisgarh"
"494220","Kondagaon","Chhattisgarh"
"494662","Narayanpur","Chhattisgarh"
"495002","Na","Not Applicable"
"500106","Hyderabad","Telangana"
"500117","Hyderabad","Telangana"
"500118","Hyderabad","Telangana"
"500119","Na","Not Applicable"
"500301","Medchal Malkajgiri","Telangana"
"500901","Na","Not Applicable"
"500903","Na","Not Applicable"
"500915","Na","Not Applicable"
"500918","Na","Not Applicable"
"500920","Na","Not Applicable"
"500927","Na","Not Applicable"
"500930","Na","Not Applicable"
"500931","Na","Not Applicable"
"500934","Na","Not Applicable"
"500939","Na","Not Applicable"
"500955","Na","Not Applicable"
"500958","Na","Not Applicable"
"500962","Na","Not Applicable"
"500970","Na","Not Applicable"
"500972","Na","Not Applicable"
"500984","Na","Not Applicable"
"500989","Na","Not Applicable"
"501302","Medchal Malkajgiri","Telangana"
"501303","Medchal Malkajgiri","Telangana"
"501513","Medchal Malkajgiri","Telangana"
"502033","Sangareddy","Telangana"
"502034","Sangareddy","Telangana"
"502106","Siddipet","Telangana"
"502932","Na","Not Applicable"
"504300","Na","Not Applicable"
"504314","Na","Not Applicable"
"505506","Peddapalli","Telangana"
"506325","Mahabubabad","Telangana"
"507112","Bhadradri Kothagudem","Telangana"
"507126","Bhadradri Kothagudem","Telangana"
"507127","Bhadradri Kothagudem","Telangana"
"507171","Bhadradri Kothagudem","Telangana"
"507315","Bhadradri Kothagudem","Telangana"
"509328","Ranga Reddy","Telangana"
"515006","Anantapur","Andhra Pradesh"
"515251","Sri Sathya Sai","Andhra Pradesh"
"517508","Na","Not Applicable"
"517509","Chittoor","Andhra Pradesh"
"517510","Na","Not Applicable"
"521224","Krishna","Andhra Pradesh"
"522008","Guntur","Andhra Pradesh"
"522241","Guntur","Andhra Pradesh"
"523003","Prakasam","Andhra Pradesh"
"530056","Visakhapatanam","Andhra Pradesh"
"530057","Visakhapatanam","Andhra Pradesh"
"530058","Visakhapatanam","Andhra Pradesh"
"530059","Visakhapatanam","Andhra Pradesh"
"532167","Srikakulam","Andhra Pradesh"
"532184","Na","Not Applicable"
"532204","Srikakulam","Andhra Pradesh"
"532207","Srikakulam","Andhra Pradesh"
"533108","East Godavari","Andhra Pradesh"
"533219","Konaseema","Andhra Pradesh"
"533350","Alluri Sitarama Raju","Andhra Pradesh"
